label,request_count,completed_request_count,simulated_time_ns,throughput_reqs_per_sec,avg_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,avg_queue_wait_ns,avg_device_service_ns,host_write_pages,nand_write_pages,waf,gc_count,foreground_gc_count,background_gc_count,pages_moved_by_gc,gc_induced_stall_ns,free_page_ratio_end,invalid_page_ratio_end,erase_count_mean,erase_count_stddev,erase_count_max
foreground,2700000,2700000,1688020546862,1599.51,1.17884e+11,8.77211e+09,5.09191e+11,5.83609e+11,1.17883e+11,600000,2700000,5158531,1.91057,16260,16260,0,2458531,1646825150000,0.050168,0.134141,3.96973,0.40027,5
fixed_background,2700000,2700000,17691540983224,152.615,1.53845e+12,1.21478e+11,1.11143e+13,1.551e+13,1.53845e+12,600000,2700000,90123051,33.3789,348702,0,348702,87423051,0,0.184285,2.38419e-05,85.1323,8.89885,122
queue_aware,2700000,2700000,1655146087924,1631.28,1.0207e+11,7.12209e+07,4.77059e+11,5.53993e+11,1.0207e+11,600000,2700000,5371091,1.98929,17090,13027,4063,2671091,1434276100000,0.0500917,0.134217,4.17236,0.431972,6
