workload,label,request_count,completed_request_count,simulated_time_ns,throughput_reqs_per_sec,avg_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,avg_queue_wait_ns,avg_device_service_ns,host_write_pages,nand_write_pages,waf,gc_count,foreground_gc_count,background_gc_count,pages_moved_by_gc,gc_induced_stall_ns,free_page_ratio_end,invalid_page_ratio_end,erase_count_mean,erase_count_stddev,erase_count_max
uniform_random,uniform_random,2700000,2700000,1434613200062,1882.04,4.52065e+11,2.95317e+11,1.28179e+12,1.3994e+12,4.52064e+11,600000,2700000,5158531,1.91057,16260,16260,0,2458531,1646825150000,0.050168,0.134141,3.96973,0.40027,5
hot_cold,hot_cold,2700000,2700000,243848600000,11072.4,1.17071e+11,1.15378e+11,2.29166e+11,2.40733e+11,1.17071e+11,325185,1350908,1380237,1.02171,1502,1502,0,29329,23569850000,0.0504026,0.745461,0.366699,0.481903,1
